,YEAR,YIELD_1,YIELD_2,YIELD_3,YIELD_4
0,2048,5.54,6.61,10.39,5.77
1,1,4.39,6.86,8.49,8.65
2,2,4.07,6.04,6.12,6.34
3,8193,4.77,6.08,10.6,3.93
4,4096,4.4,3.51,8.6,5.58
5,6149,4.13,4.81,9.58,0.76
6,8200,6.43,4.84,9.32,8.65
7,10,4.83,5.8,10.33,3.27
8,4109,4.48,5.96,9.49,4.0
9,8206,5.36,4.16,5.52,2.83
10,2062,4.71,3.05,6.08,0.92
11,2064,5.96,8.03,9.28,6.56
12,6161,6.7,5.42,11.35,2.55
13,8212,4.26,8.73,11.21,2.69
14,8215,5.87,5.68,11.46,2.96
15,6167,3.63,3.21,11.12,1.74
16,8217,3.86,7.15,11.33,2.28
17,8218,5.09,3.33,10.38,3.88
18,28,5.8,10.23,8.52,3.93
19,6175,4.93,9.12,9.96,6.17
20,33,3.63,4.4,8.52,3.06
21,35,5.88,6.31,9.63,1.35
22,2084,3.75,5.42,7.0,5.86
23,4133,4.68,4.4,8.86,5.73
24,39,5.86,6.2,9.99,0.0
25,6186,4.18,8.41,7.26,7.0
26,46,4.02,3.77,9.72,0.18
27,6194,4.14,5.57,9.56,1.07
28,6197,4.17,6.28,10.62,2.32
29,8249,3.48,3.51,9.62,1.36
30,4153,5.69,7.01,8.98,5.82
31,6201,3.99,5.85,9.89,2.14
32,8255,3.93,4.36,9.68,0.43
33,2113,6.23,7.09,9.78,4.15
34,4166,6.67,7.68,9.63,1.12
35,2119,3.61,5.33,11.79,2.48
36,72,5.47,7.64,11.08,2.44
37,8267,5.59,6.79,9.09,3.77
38,6219,5.25,4.26,8.14,0.5
39,6220,4.63,5.07,10.09,3.48
40,78,7.55,6.84,11.53,2.02
41,8272,4.21,4.67,10.6,3.57
42,88,7.64,6.78,6.65,3.15
43,6235,6.43,4.99,7.92,0.74
44,92,6.93,4.87,10.69,2.16
45,2141,4.14,8.16,12.46,3.42
46,2142,5.56,7.63,11.59,4.43
47,95,4.61,5.28,9.0,1.56
48,4188,7.06,7.69,10.49,2.65
49,4190,4.15,4.63,8.58,2.57
50,8292,4.11,7.26,9.44,1.97
51,6246,4.17,6.99,8.8,2.5
52,2152,9.0,9.05,8.43,4.77
53,4202,6.5,8.02,10.01,3.42
54,8299,4.23,7.26,8.09,2.81
55,4207,4.51,7.33,7.37,7.61
56,2161,6.77,6.02,11.17,2.04
57,2164,7.75,7.23,10.66,2.47
58,6263,6.65,5.28,9.41,1.05
59,120,6.24,4.96,8.97,1.7
60,6264,8.24,6.77,11.74,6.55
61,128,6.25,4.29,9.32,0.08
62,4228,6.16,7.15,8.25,4.59
63,8326,6.68,7.04,12.22,5.75
64,135,7.31,7.93,8.31,4.02
65,6279,6.31,9.26,7.82,8.53
66,8330,4.1,4.77,8.8,0.13
67,4235,8.13,5.21,7.55,0.0
68,8332,7.15,8.19,13.28,2.39
69,141,4.47,5.46,4.27,1.94
70,8333,4.09,7.11,8.76,3.27
71,6286,4.78,6.01,4.98,3.22
72,8337,4.49,5.47,11.35,0.92
73,4241,6.07,9.09,7.59,2.45
74,8341,4.86,7.07,10.94,3.84
75,153,5.65,7.57,11.86,4.66
76,4252,3.42,5.19,5.33,1.74
77,157,6.24,9.24,10.15,3.92
78,4257,4.8,9.36,10.23,8.65
79,2212,4.61,6.16,10.72,2.43
80,8357,4.24,3.24,9.8,1.35
81,6309,4.58,9.02,11.53,5.35
82,4263,3.99,6.49,11.48,4.72
83,170,6.69,8.21,11.01,3.69
84,4267,4.8,7.43,11.76,2.5
85,8364,4.97,5.46,4.43,6.07
86,2225,4.51,5.39,10.91,2.91
87,181,7.19,5.23,11.56,2.89
88,4281,5.84,4.49,8.42,2.07
89,8378,5.36,8.57,6.19,9.62
90,8381,5.56,6.21,8.35,2.4
91,2238,5.88,4.27,10.39,4.23
92,8383,4.24,3.8,8.43,1.98
93,8385,4.85,6.41,9.09,1.18
94,2241,5.59,5.99,6.54,1.14
95,6337,5.9,5.55,13.15,0.82
96,6342,4.33,4.21,11.31,1.26
97,4297,4.17,5.55,7.84,3.0
98,4299,4.35,4.19,9.59,1.56
99,205,4.72,3.91,9.88,0.51
100,2253,4.18,4.68,9.19,0.85
101,6349,4.89,8.1,8.68,4.35
102,4306,4.2,6.49,8.58,2.86
103,6355,6.23,4.63,9.99,0.19
104,8404,2.35,4.74,9.88,5.38
105,4308,5.26,5.84,7.09,4.44
106,6358,6.32,4.29,6.84,2.52
107,6360,4.32,6.12,8.91,0.33
108,6365,5.88,2.96,11.2,0.0
109,8416,7.06,5.88,9.53,3.97
110,225,7.74,3.76,10.01,2.1
111,8417,4.4,7.89,8.61,2.71
112,8418,6.04,8.08,11.78,3.8
113,4324,7.88,10.67,10.9,7.09
114,4327,6.41,6.9,8.92,2.17
115,232,5.94,9.22,10.57,3.55
116,8429,4.21,4.56,10.46,4.44
117,4334,7.02,4.35,10.32,5.99
118,6381,3.82,6.37,10.3,4.63
119,245,4.34,5.77,9.7,4.24
120,6389,6.18,4.89,10.06,3.56
121,6390,5.88,7.84,7.53,3.96
122,6392,6.39,7.59,12.28,5.77
123,250,4.73,7.26,8.81,2.6
124,2299,5.42,6.39,9.6,4.78
125,252,6.7,5.91,9.5,6.76
126,2301,7.95,4.99,9.6,1.23
127,8446,4.32,9.4,8.73,2.62
128,2302,5.16,8.24,9.25,4.02
129,8449,4.62,7.64,11.34,1.74
130,8450,8.19,7.33,11.5,4.38
131,2305,4.32,7.04,9.56,4.26
132,6401,5.91,6.19,9.11,4.54
133,2318,4.19,6.78,12.68,4.16
134,2320,6.51,7.43,9.77,3.19
135,4368,6.19,5.45,9.25,1.56
136,8466,6.84,5.76,11.14,3.73
137,8468,2.83,4.2,9.73,6.15
138,2324,5.83,6.35,9.08,4.59
139,8472,4.51,5.56,11.84,6.07
140,2330,5.39,4.05,10.05,3.17
141,2333,6.01,4.56,9.67,5.34
142,4383,5.86,6.99,9.29,3.7
143,288,5.23,6.09,11.18,0.52
144,4384,5.4,4.6,12.13,0.0
145,2342,4.89,5.78,12.05,4.43
146,8488,4.26,6.14,7.44,0.92
147,299,5.72,2.4,8.82,2.24
148,6445,7.43,8.89,6.59,2.72
149,4398,3.54,6.51,7.96,3.84
150,8495,7.58,8.58,6.52,4.16
151,6446,4.88,6.07,10.28,4.93
152,305,6.73,6.3,10.33,5.3
153,2356,4.5,5.34,11.04,2.09
154,8503,5.01,5.15,7.07,1.63
155,8506,8.01,9.73,8.21,3.46
156,4411,4.75,5.13,7.36,4.08
157,8509,5.04,6.43,10.79,1.43
158,318,4.82,6.66,5.76,4.19
159,6461,3.74,5.54,10.34,2.08
160,320,5.26,5.09,9.38,8.71
161,8514,6.13,4.26,9.05,3.7
162,2371,5.05,3.92,8.22,1.25
163,324,6.87,6.85,10.65,5.79
164,325,5.95,7.13,9.26,7.51
165,8520,5.49,4.14,8.21,0.49
166,6474,7.79,8.21,10.28,6.02
167,4428,5.32,6.91,6.95,2.46
168,2381,4.69,6.39,10.41,4.83
169,6478,6.04,6.25,10.4,3.51
170,4436,4.98,8.02,7.21,8.59
171,341,5.21,7.39,10.0,1.75
172,6486,6.95,9.97,10.8,6.55
173,8535,6.06,3.75,10.21,0.92
174,6487,4.7,6.62,11.39,2.12
175,4442,5.32,6.38,11.41,3.06
176,347,5.13,6.88,9.62,4.05
177,6496,4.51,6.44,10.74,7.48
178,6498,7.12,6.87,11.09,3.15
179,357,4.08,4.38,11.48,0.0
180,6502,4.12,5.0,7.03,0.85
181,4456,5.75,5.82,7.26,3.83
182,8554,3.44,7.78,8.31,1.08
183,363,4.76,5.94,6.95,3.14
184,2411,3.82,7.43,11.99,3.99
185,6509,6.1,4.89,11.5,1.65
186,366,6.76,5.62,9.51,1.77
187,8560,4.08,6.03,9.93,2.01
188,372,6.23,7.01,9.45,1.81
189,8565,5.64,7.29,8.51,5.76
190,6520,5.0,9.0,10.51,7.12
191,4473,5.08,8.21,8.97,2.68
192,6521,6.77,6.63,10.2,2.37
193,8571,5.01,3.78,9.02,3.04
194,4476,4.38,7.47,8.72,4.25
195,382,5.58,5.05,8.08,1.11
196,4478,4.75,4.46,11.12,3.06
197,4481,5.33,9.08,9.93,5.05
198,8579,4.6,4.74,11.56,3.23
199,390,5.25,8.58,11.14,3.86
200,4488,5.36,5.64,10.7,1.48
201,8587,5.01,7.53,10.37,1.78
202,4493,6.58,7.42,5.3,3.64
203,8593,3.85,4.62,9.35,3.89
204,6545,5.51,4.28,12.0,2.09
205,8598,4.54,8.27,10.26,3.6
206,2455,4.68,4.74,10.12,1.72
207,8601,5.07,6.03,10.32,3.51
208,4505,5.55,4.5,10.07,1.64
209,411,5.02,6.86,11.52,2.84
210,4508,6.56,4.37,8.33,2.28
211,4509,4.54,5.39,6.43,3.31
212,8608,6.04,5.72,8.84,2.48
213,2466,4.73,5.22,8.86,5.03
214,8611,4.47,7.47,10.02,4.33
215,4519,8.45,7.63,7.02,6.2
216,2472,5.94,7.83,10.86,3.2
217,429,4.06,4.5,8.28,2.43
218,6574,5.85,6.88,6.62,3.61
219,431,3.95,6.24,10.81,4.76
220,4528,4.86,6.82,9.22,5.87
221,433,7.29,7.32,8.58,3.63
222,8625,5.16,6.83,10.05,5.3
223,4529,5.51,8.12,8.67,3.63
224,6575,3.96,4.84,9.86,2.15
225,438,4.18,10.7,13.02,3.33
226,439,5.47,4.35,6.11,0.26
227,8630,5.67,7.88,9.3,3.37
228,441,4.94,5.62,9.51,0.25
229,2486,6.04,6.6,6.69,2.54
230,446,3.73,7.38,6.86,5.28
231,448,4.47,5.04,11.07,1.93
232,8641,4.58,4.15,4.94,2.23
233,8642,4.83,4.49,7.62,3.07
234,2501,5.49,6.95,11.79,1.01
235,4549,6.0,10.32,11.72,3.98
236,2503,3.43,5.22,5.07,2.13
237,8648,4.3,9.26,10.67,4.27
238,8649,6.77,5.59,9.77,0.13
239,6597,5.3,4.9,9.2,1.46
240,2511,4.4,6.23,10.05,1.24
241,8658,6.1,10.02,9.77,8.84
242,2518,6.69,6.18,11.87,2.15
243,471,5.38,6.52,8.93,1.77
244,472,4.9,4.84,6.03,1.57
245,2523,4.54,4.06,12.21,1.68
246,4572,4.07,6.42,12.92,4.23
247,4573,4.7,6.89,8.73,1.89
248,478,4.59,5.02,8.98,5.52
249,4575,7.72,5.49,8.1,2.02
250,4576,3.51,6.3,9.39,3.02
251,8673,3.24,7.07,7.84,3.22
252,6626,3.95,3.67,5.03,1.23
253,4580,4.99,4.66,11.18,7.09
254,4582,4.1,3.6,6.43,1.08
255,8679,5.18,6.64,9.93,3.15
256,4583,6.12,7.99,11.14,5.0
257,491,5.18,3.97,7.8,3.67
258,2543,5.54,5.27,5.99,4.21
259,2545,4.56,3.18,7.34,1.87
260,8691,4.31,5.32,10.45,1.0
261,4597,4.24,5.14,6.13,3.44
262,4599,5.94,5.14,6.87,2.0
263,6649,4.97,5.92,8.76,4.98
264,8700,5.91,5.29,10.81,4.08
265,4604,4.25,5.96,10.88,4.15
266,2558,6.73,6.82,11.56,1.53
267,6657,5.13,6.86,12.25,2.21
268,6658,4.72,6.16,8.94,5.38
269,4611,6.78,7.28,10.95,3.6
270,516,3.94,7.85,8.89,2.86
271,6663,4.79,6.79,10.35,7.93
272,6664,5.93,3.33,9.97,2.34
273,524,5.19,5.11,9.74,1.94
274,8717,6.75,7.09,11.96,2.5
275,2572,4.83,8.96,12.4,4.69
276,2573,5.57,7.4,9.42,2.39
277,4623,4.26,5.72,5.37,4.09
278,8722,6.84,8.71,9.47,3.25
279,6674,4.35,6.32,10.1,2.78
280,6676,3.82,3.21,7.94,0.0
281,4629,6.46,5.91,10.24,2.13
282,4630,5.74,4.35,9.33,1.69
283,4632,7.57,5.83,11.51,0.82
284,8731,7.64,8.27,10.94,2.31
285,8732,4.21,3.95,9.78,0.0
286,8736,3.8,4.88,6.26,1.72
287,8740,4.91,9.2,10.82,5.28
288,2597,3.31,4.74,9.24,0.82
289,8746,5.03,6.54,11.04,2.65
290,6698,4.35,8.28,9.61,5.04
291,556,4.8,6.55,7.89,0.83
292,8750,5.96,7.38,7.81,7.36
293,6702,5.52,6.34,7.42,1.54
294,2608,4.0,6.44,8.53,1.42
295,561,7.52,7.36,8.6,6.34
296,2609,5.37,7.35,8.22,3.2
297,2613,4.65,3.86,9.59,3.33
298,4662,4.4,5.98,7.01,6.31
299,4664,4.97,5.27,9.13,5.92
300,2618,5.26,4.55,11.58,0.91
301,8763,3.53,4.82,10.73,2.52
302,572,4.63,7.58,8.49,1.19
303,8766,4.88,5.95,9.24,1.88
304,4671,4.79,4.9,9.22,0.76
305,2624,3.52,5.56,5.81,4.52
306,2626,5.14,6.0,12.26,0.34
307,4677,4.24,3.94,9.93,2.89
308,6729,5.43,7.95,9.31,5.08
309,587,9.38,10.5,12.38,2.69
310,8780,6.1,3.75,6.92,4.4
311,595,5.97,9.37,11.18,7.91
312,8789,6.0,3.93,12.33,0.0
313,2649,3.66,4.74,9.41,3.87
314,2652,6.91,4.95,10.83,3.46
315,8798,3.98,4.39,11.93,5.75
316,2654,6.66,4.64,13.02,1.21
317,613,4.25,5.19,12.11,5.1
318,6762,4.17,4.85,7.64,1.86
319,6764,7.03,5.59,9.27,4.15
320,6769,3.59,5.33,5.56,2.25
321,4723,5.47,4.44,10.71,2.95
322,4726,6.85,3.42,9.85,1.18
323,633,4.72,7.43,9.75,2.76
324,4729,3.4,3.96,10.49,1.62
325,6777,5.44,5.4,10.14,4.98
326,4732,6.8,4.03,10.21,2.06
327,8830,4.47,5.5,8.59,3.92
328,8831,6.03,7.22,7.75,1.57
329,6787,5.28,7.56,10.14,7.28
330,6789,4.31,4.78,9.87,1.3
331,6790,4.94,6.31,10.72,2.06
332,6791,5.65,8.2,8.64,8.28
333,2698,6.26,6.86,8.51,1.65
334,2699,6.96,9.58,10.36,3.38
335,6796,4.58,5.87,6.45,1.42
336,4752,5.84,5.72,10.59,1.61
337,6801,5.51,7.01,10.91,2.42
338,2707,6.15,8.02,10.2,6.54
339,4755,7.13,6.34,9.11,1.03
340,4762,4.73,4.38,12.24,0.0
341,8859,6.2,5.53,9.31,3.38
342,672,7.24,6.73,11.91,4.29
343,674,6.86,5.14,9.99,7.99
344,6823,6.14,4.32,6.01,7.26
345,8872,3.63,6.66,7.82,2.81
346,6825,5.95,4.95,7.66,5.42
347,682,3.0,6.87,7.61,4.61
348,8875,3.96,8.11,8.94,5.27
349,4781,5.86,4.5,11.87,2.06
350,4784,6.21,6.78,10.95,3.0
351,690,4.45,6.27,9.59,0.52
352,693,5.41,4.37,7.98,0.67
353,4791,3.66,3.95,9.45,3.3
354,2748,4.84,5.14,9.25,5.42
355,701,4.6,5.03,7.74,5.02
356,6845,4.6,6.26,5.46,2.06
357,2756,5.6,7.86,11.1,3.05
358,6853,4.94,4.45,9.28,0.19
359,6856,5.1,5.42,9.85,3.18
360,715,6.11,6.43,8.3,1.02
361,8908,6.12,6.57,13.43,4.0
362,2771,5.27,3.28,8.14,0.0
363,2772,6.07,4.88,11.75,0.52
364,4820,6.44,7.43,10.48,2.57
365,6872,4.01,6.53,10.38,2.83
366,2777,7.16,8.21,11.54,4.27
367,8925,4.51,7.49,10.68,5.37
368,734,3.86,7.13,10.22,3.4
369,4831,6.07,7.74,11.95,2.57
370,736,4.38,4.49,11.15,1.79
371,6879,7.29,5.42,8.02,2.91
372,6881,3.35,5.76,6.21,4.4
373,6882,4.07,9.83,5.12,5.26
374,2791,7.09,5.77,5.56,3.64
375,2795,4.44,6.5,7.62,5.27
376,4843,4.29,5.85,9.75,2.73
377,6891,4.85,8.86,7.51,5.74
378,6893,5.85,7.32,6.71,3.98
379,751,6.82,4.3,10.82,0.23
380,752,8.42,5.14,9.13,2.21
381,4850,7.06,8.03,9.17,3.4
382,2803,7.11,5.92,10.85,1.99
383,8948,4.89,5.42,9.06,7.45
384,6899,4.46,7.34,9.28,6.51
385,4857,4.7,5.25,8.95,5.36
386,8954,4.42,8.37,9.81,4.73
387,8956,8.93,9.74,12.85,7.79
388,2814,5.57,7.75,9.11,4.81
389,8959,3.86,4.19,8.18,0.02
390,2818,4.32,8.95,9.81,3.3
391,6916,4.45,5.33,5.74,0.0
392,4869,3.81,4.94,6.22,3.45
393,8967,3.81,5.06,6.02,1.19
394,4872,6.16,5.91,10.04,5.32
395,777,7.6,10.32,11.34,6.18
396,780,5.15,4.3,9.75,3.8
397,2829,5.29,5.81,9.26,2.08
398,6927,5.18,4.98,7.93,6.42
399,4880,4.73,4.13,11.57,0.0
400,786,4.99,6.54,5.74,3.61
401,6935,5.93,9.32,10.22,4.89
402,793,5.62,4.18,8.58,4.88
403,2843,5.6,7.45,11.29,3.82
404,6941,8.07,6.99,8.62,5.32
405,798,5.45,4.22,6.82,4.6
406,799,7.21,5.63,11.52,5.78
407,4895,4.38,6.26,8.62,0.79
408,6945,4.29,6.29,7.57,0.82
409,2853,4.21,7.33,9.02,2.16
410,4904,3.95,7.12,10.67,1.55
411,6955,5.15,8.38,9.1,4.52
412,4909,6.8,6.64,11.96,3.19
413,9006,9.62,10.59,11.12,4.58
414,816,4.28,5.21,9.55,4.54
415,4915,6.8,6.81,9.74,2.34
416,6963,7.02,6.25,11.35,3.91
417,9016,5.22,6.01,11.41,2.91
418,9023,6.06,4.97,10.74,3.55
419,832,4.77,4.38,11.13,0.0
420,2880,3.7,9.41,5.1,3.71
421,4929,4.61,6.59,7.67,6.8
422,839,3.93,7.22,8.37,0.8
423,6983,7.41,8.47,10.92,4.25
424,6987,6.11,5.31,10.93,0.0
425,844,6.35,6.94,8.5,2.89
426,9036,7.19,5.26,6.01,0.84
427,2895,7.19,6.56,10.16,3.61
428,849,9.05,5.26,9.34,1.91
429,852,3.68,0.0,11.46,5.75
430,2900,5.54,8.84,5.42,3.59
431,2902,5.6,8.78,10.2,5.99
432,9047,5.23,5.38,9.81,4.5
433,6996,3.98,9.39,6.84,2.94
434,4953,5.87,8.63,10.96,5.51
435,9052,6.69,4.47,7.82,2.32
436,7006,6.38,8.44,10.1,1.84
437,9055,4.6,6.28,8.57,4.39
438,7011,6.91,4.32,9.75,2.78
439,7012,6.96,7.52,9.94,5.32
440,4972,6.58,9.38,7.95,6.81
441,4976,9.98,7.15,12.55,1.26
442,7028,7.54,7.54,10.71,3.09
443,7030,5.53,6.64,9.85,4.79
444,9086,4.22,8.23,9.21,3.87
445,9088,4.06,5.67,7.78,3.13
446,7040,6.2,6.47,8.62,5.66
447,7042,3.81,6.04,7.63,4.08
448,9093,7.56,7.73,8.66,4.15
449,7046,4.6,5.93,6.28,1.23
450,7048,2.91,4.6,6.33,4.5
451,905,5.2,5.5,6.76,1.44
452,9098,3.85,3.86,5.79,2.43
453,9104,5.83,5.48,10.14,1.61
454,5010,5.76,5.18,11.47,2.17
455,7059,4.5,5.24,9.97,2.61
456,7064,3.85,8.79,8.18,6.21
457,5017,4.79,5.17,10.05,2.54
458,2970,5.33,9.74,8.7,6.27
459,2971,7.34,8.1,11.35,1.16
460,5020,4.97,4.8,6.01,1.1
461,925,6.69,7.53,5.72,4.46
462,7070,5.25,6.57,8.34,6.98
463,2975,4.57,4.5,12.08,4.36
464,5024,8.56,5.99,10.79,2.48
465,5025,6.18,5.58,10.53,2.8
466,9123,4.25,3.99,6.75,0.0
467,7075,7.65,9.85,11.29,4.74
468,5030,8.42,5.36,10.47,2.93
469,2984,4.76,7.45,9.53,2.81
470,9129,4.04,5.35,7.42,4.22
471,9130,5.19,10.0,9.34,4.64
472,939,7.32,8.27,9.21,3.67
473,5032,9.06,6.69,6.83,2.89
474,5034,4.67,5.75,8.97,3.53
475,7080,4.46,8.15,7.19,4.07
476,7087,5.65,6.92,10.85,1.41
477,7097,4.01,4.81,11.95,2.96
478,9148,3.91,4.88,10.13,4.3
479,957,6.59,6.49,11.12,7.67
480,9149,5.51,4.8,10.78,3.46
481,9150,4.27,6.06,7.77,1.76
482,3010,4.79,3.8,11.35,4.13
483,3013,3.4,3.72,6.2,2.62
484,5062,6.07,6.68,9.64,5.79
485,7111,4.68,4.64,9.44,5.06
486,9163,5.09,8.0,8.93,6.29
487,7118,5.0,6.34,6.84,5.05
488,3023,6.52,6.19,12.25,2.45
489,3025,4.96,6.88,10.05,3.34
490,5073,5.5,8.9,9.94,5.43
491,980,5.88,5.46,7.32,0.03
492,9173,4.19,4.62,6.52,0.42
493,982,4.16,8.13,11.09,3.25
494,3029,6.89,4.75,10.2,2.58
495,5077,4.67,8.6,6.55,7.92
496,3033,6.41,6.54,8.86,7.77
497,7124,5.74,4.81,9.42,3.85
498,9184,6.6,5.62,10.59,4.36
499,3041,4.83,6.13,9.24,5.39
500,995,3.02,4.12,9.32,2.37
501,5094,8.13,4.49,9.28,2.75
