,YEAR,YIELD_1,YIELD_2,YIELD_3,YIELD_4
502,5097,6.01,4.45,6.23,2.18
503,9195,3.94,7.03,11.21,2.36
504,3056,3.26,5.12,9.68,2.42
505,1009,3.98,7.25,8.22,5.28
506,5107,4.1,5.79,10.62,1.6
507,9208,8.26,5.93,11.91,0.65
508,7162,4.2,5.44,8.75,3.38
509,1023,5.95,5.14,10.01,1.74
510,5122,4.48,4.97,9.75,0.26
511,7171,5.1,6.5,8.83,3.02
512,7174,7.81,4.64,12.65,7.09
513,5127,3.95,3.8,11.63,0.0
514,3084,4.1,7.02,10.98,4.23
515,1037,4.03,6.51,10.24,1.65
516,1038,6.0,5.13,7.39,5.25
517,3085,6.62,5.54,11.28,0.68
518,5133,5.9,5.13,11.31,0.71
519,1041,4.42,7.69,9.37,4.69
520,9233,3.98,7.33,8.53,2.36
521,5138,4.82,8.72,10.69,7.51
522,5139,5.23,6.21,9.78,7.03
523,7183,5.57,5.56,10.59,2.78
524,9242,4.35,9.71,11.59,5.62
525,1051,5.97,9.61,10.1,4.62
526,5150,5.72,8.21,12.27,2.18
527,9247,7.49,5.3,8.06,6.71
528,3104,5.66,3.14,6.07,0.0
529,7198,4.09,4.15,9.41,1.47
530,5154,3.86,4.81,4.58,4.07
531,1059,5.47,5.27,10.49,0.21
532,5157,4.03,8.04,11.3,6.45
533,7206,5.28,7.12,11.49,2.93
534,7208,4.84,3.99,10.92,5.49
535,9257,5.8,4.54,8.26,1.72
536,1068,7.53,6.52,9.12,1.47
537,3117,3.75,3.07,9.14,1.39
538,3118,4.25,3.75,8.99,2.27
539,3119,5.82,6.58,8.22,2.38
540,1073,5.27,5.83,10.25,7.18
541,3123,7.51,4.72,10.92,4.12
542,7219,3.66,7.55,6.81,3.67
543,7948,4.81,4.76,9.71,0.62
544,5175,4.6,3.83,10.05,0.19
545,5176,4.9,10.11,11.42,4.98
546,5177,4.16,7.02,8.36,3.69
547,7226,3.62,6.54,8.18,3.62
548,9277,6.54,6.02,9.95,2.25
549,5182,4.84,8.95,9.65,4.49
550,3135,4.42,5.15,11.92,6.4
551,7950,6.26,7.36,9.29,2.15
552,9283,5.44,5.12,9.06,2.56
553,5187,4.95,7.59,7.65,1.44
554,9287,7.05,4.47,12.42,3.03
555,9293,4.62,6.65,11.37,2.26
556,1102,6.06,7.67,9.99,3.59
557,7247,5.02,10.31,13.33,3.38
558,1104,5.52,8.8,10.88,4.47
559,1105,5.86,4.66,12.81,0.16
560,5200,6.38,5.15,8.71,0.82
561,7954,8.0,5.13,7.42,1.09
562,7252,5.4,4.53,10.55,5.32
563,1110,5.66,8.53,13.06,1.51
564,5207,6.63,6.71,11.33,9.18
565,1112,5.79,5.87,9.63,2.84
566,3161,5.7,6.1,9.78,0.65
567,7254,9.31,5.48,10.95,3.63
568,3165,6.55,4.01,10.87,0.0
569,9310,4.68,6.39,8.08,1.4
570,7262,4.97,6.15,7.43,3.16
571,1128,4.08,5.76,9.34,2.54
572,7274,7.21,5.89,8.98,3.23
573,9323,3.71,7.64,10.5,3.72
574,3179,6.09,5.26,9.99,0.79
575,5228,5.29,8.99,10.04,2.96
576,3183,4.94,8.33,9.03,3.02
577,5233,5.97,9.7,9.97,4.94
578,1138,5.38,7.65,8.32,7.28
579,9332,5.58,5.38,8.82,3.35
580,3189,4.24,3.77,12.95,1.98
581,1146,5.98,3.83,9.41,2.77
582,1147,4.23,7.45,7.74,2.56
583,1148,7.78,9.22,10.14,4.45
584,9340,6.72,6.13,10.8,3.8
585,7294,6.86,6.96,10.85,4.41
586,7295,5.44,3.63,10.58,1.04
587,9345,3.9,5.33,5.39,0.58
588,1155,5.2,6.78,8.26,5.02
589,3204,5.47,8.06,6.37,4.83
590,7301,4.87,6.67,11.44,2.66
591,1165,4.46,6.83,9.28,1.98
592,1166,4.14,3.81,8.18,0.0
593,5266,5.39,4.25,9.56,4.07
594,9364,4.8,6.24,9.46,4.6
595,9369,3.64,6.81,8.37,3.29
596,1179,4.86,10.56,10.7,3.08
597,9372,4.86,2.04,5.62,2.24
598,7325,7.31,5.0,11.24,3.73
599,9377,4.93,6.77,6.64,3.71
600,7333,6.77,5.39,7.54,3.17
601,1193,4.83,6.75,7.84,2.37
602,5304,6.39,4.64,8.83,5.31
603,3257,4.49,7.55,6.72,4.5
604,7354,6.8,9.1,8.91,8.06
605,3259,3.64,8.51,9.04,3.47
606,5309,4.51,4.84,5.37,0.0
607,7359,4.36,3.46,6.13,0.0
608,9410,4.54,7.41,10.11,4.49
609,5315,5.63,3.9,6.08,0.45
610,1221,4.51,3.84,7.99,5.81
611,9416,5.6,3.91,12.03,2.78
612,3273,4.24,7.58,7.7,3.5
613,1226,4.04,4.54,7.15,2.73
614,3274,4.33,5.93,8.98,1.88
615,5321,5.97,6.44,8.52,2.71
616,5324,5.73,6.79,10.25,2.78
617,7373,6.34,6.36,11.89,1.42
618,9425,5.43,4.71,8.81,5.73
619,3281,4.96,8.42,9.11,3.49
620,9427,4.38,4.67,8.61,1.06
621,5329,3.17,6.46,10.05,2.74
622,7380,5.3,8.52,9.01,1.68
623,9430,6.05,4.79,8.3,4.68
624,7382,3.92,5.13,6.88,1.54
625,7387,4.67,4.8,8.94,2.28
626,7388,3.85,6.1,8.9,4.68
627,7389,3.99,5.28,7.85,0.6
628,1248,3.9,4.71,5.1,0.35
629,9440,6.07,6.81,12.24,5.22
630,1250,4.93,4.22,9.11,3.48
631,5351,5.39,5.4,9.28,2.14
632,3304,4.2,5.06,10.65,0.96
633,7400,5.79,6.74,8.25,2.04
634,1258,4.36,6.31,11.2,2.81
635,1261,6.91,5.22,10.51,5.19
636,9453,5.49,6.38,11.73,7.55
637,9455,5.57,7.26,8.81,1.49
638,7406,6.55,5.12,9.38,4.55
639,7407,7.33,4.3,11.29,3.51
640,9458,3.93,9.33,9.85,2.93
641,7411,5.06,4.11,8.86,5.12
642,5364,10.38,7.68,11.27,4.7
643,9468,5.58,4.15,9.0,1.09
644,1277,4.68,4.44,8.94,4.37
645,5373,3.86,6.33,8.15,3.91
646,1279,5.4,4.98,8.32,2.62
647,3328,4.46,4.82,7.73,2.09
648,7422,7.65,7.3,9.79,6.3
649,5383,4.85,9.03,11.03,2.8
650,5384,7.18,5.43,9.95,2.82
651,7436,7.29,7.56,10.57,2.83
652,9485,5.61,7.28,9.36,7.99
653,7442,5.2,9.13,11.06,4.19
654,7443,7.39,4.04,11.99,2.6
655,9498,7.76,6.91,10.61,2.91
656,9501,3.12,4.19,11.03,1.5
657,3358,6.01,5.76,7.24,3.47
658,9503,4.55,4.07,9.8,1.78
659,7457,5.44,3.77,8.99,1.81
660,3362,4.31,6.9,11.45,1.7
661,1316,4.95,6.25,10.75,1.61
662,1318,7.76,10.48,12.27,4.03
663,1319,6.29,5.66,10.51,1.35
664,9511,4.34,3.84,12.17,1.91
665,9512,3.64,3.31,9.82,2.21
666,7468,6.49,6.64,8.28,2.39
667,7469,5.25,3.61,7.12,4.14
668,1329,4.31,7.3,7.27,4.52
669,7473,6.25,6.16,9.77,3.58
670,1335,6.95,8.21,10.41,1.82
671,9527,7.67,9.49,9.06,5.53
672,3383,5.52,9.16,11.4,4.03
673,7479,5.94,7.21,8.34,3.43
674,9532,4.12,4.2,9.12,7.72
675,7485,4.51,4.88,9.62,2.76
676,9538,4.37,8.28,8.97,3.53
677,1347,4.11,5.4,6.23,4.23
678,7490,5.2,4.58,9.97,2.14
679,9546,4.49,4.88,9.59,1.32
680,1355,3.6,4.18,10.51,4.45
681,9548,5.78,9.64,9.88,4.0
682,1359,6.48,5.28,8.02,2.43
683,7506,7.36,4.18,6.23,4.64
684,5459,6.21,7.92,9.79,4.08
685,7507,5.29,9.0,8.6,4.33
686,1366,4.11,6.56,11.09,4.11
687,3415,4.18,7.06,10.89,4.05
688,9563,6.47,7.53,8.61,5.28
689,9564,7.37,5.86,7.1,6.76
690,5480,4.82,6.84,9.33,2.85
691,9579,5.45,5.65,9.67,5.78
692,9584,4.88,6.48,5.13,3.2
693,3442,5.26,4.56,10.42,4.68
694,3444,6.59,8.03,11.1,5.55
695,1397,5.02,3.77,9.69,1.32
696,5493,4.83,5.46,8.29,9.27
697,5497,3.56,5.93,9.99,2.28
698,1403,7.61,5.08,11.07,0.7
699,3453,6.02,5.34,9.67,4.29
700,3454,4.04,5.07,9.72,0.47
701,9599,4.43,4.85,9.01,2.92
702,7551,6.22,7.41,8.68,2.86
703,9602,5.93,4.96,9.92,3.53
704,1411,5.51,7.32,7.06,1.64
705,5506,4.3,5.61,8.05,1.02
706,3461,5.77,4.64,9.92,4.64
707,7554,5.05,5.53,10.12,0.0
708,7557,5.09,8.01,9.8,3.04
709,9610,4.64,6.56,9.17,1.76
710,1426,4.67,5.75,9.32,5.24
711,9619,5.93,8.74,9.74,4.07
712,5523,8.85,4.86,8.86,0.35
713,7570,4.06,4.75,12.0,2.86
714,1430,4.92,3.93,8.28,3.83
715,7573,8.21,6.42,10.74,3.55
716,5528,5.17,4.99,8.78,0.28
717,5530,3.62,4.34,9.44,2.16
718,3483,4.52,3.22,10.27,3.59
719,1438,7.07,4.53,8.01,0.4
720,7583,3.53,5.93,8.46,3.23
721,3488,5.88,5.9,9.97,3.03
722,1443,5.81,4.63,7.13,0.55
723,3494,3.96,5.03,7.89,1.09
724,5543,6.63,7.17,11.94,4.42
725,1451,5.33,4.84,7.33,3.54
726,9644,3.67,7.51,10.84,6.72
727,3500,4.41,4.11,7.64,6.47
728,1456,4.69,6.38,12.59,3.95
729,9649,6.13,4.69,9.15,4.53
730,3507,7.0,6.71,12.02,2.4
731,3512,4.34,5.26,12.4,3.52
732,3515,4.33,4.05,11.24,2.09
733,1469,5.97,5.04,6.67,1.29
734,1470,4.24,5.53,9.39,3.0
735,9670,5.33,8.32,9.3,5.53
736,3529,4.23,4.99,11.14,5.73
737,5578,3.81,5.48,10.22,1.59
738,5581,5.93,8.97,8.22,3.42
739,9678,7.53,6.63,11.23,3.31
740,3534,5.69,3.89,11.62,1.18
741,7629,4.27,4.86,9.46,5.62
742,1497,4.14,7.41,8.65,5.24
743,1498,7.25,10.09,11.03,5.96
744,5596,5.77,6.43,10.7,3.6
745,9694,6.03,7.39,4.27,2.43
746,5602,4.91,3.62,5.78,5.25
747,5606,4.63,7.49,9.08,2.71
748,7654,4.63,4.26,9.04,2.74
749,9704,4.4,7.18,4.95,2.99
750,7656,5.11,9.48,9.01,6.93
751,7658,5.74,8.23,9.49,4.61
752,9707,3.72,7.61,9.32,3.67
753,5611,3.82,6.47,9.32,3.64
754,5613,5.26,6.26,10.18,2.82
755,5614,4.47,7.82,10.32,2.93
756,9713,8.9,4.36,11.44,4.88
757,5622,4.26,10.31,10.9,9.31
758,1527,6.52,7.66,7.24,3.27
759,7672,4.64,4.79,10.84,1.2
760,5628,4.58,4.95,10.48,2.12
761,3583,4.32,6.13,8.21,1.15
762,7681,5.11,4.72,7.81,2.63
763,9730,5.54,8.95,6.68,3.71
764,3586,6.59,6.49,6.79,1.75
765,5638,4.32,5.82,10.44,1.48
766,1546,3.8,6.91,8.23,1.59
767,3596,4.3,3.66,12.55,3.6
768,9743,5.97,4.04,9.35,4.93
769,3599,4.29,8.1,7.06,3.95
770,1553,3.25,6.04,8.11,2.12
771,9745,5.32,3.86,10.31,1.25
772,9746,6.01,3.14,5.69,3.17
773,3608,6.06,6.26,11.53,2.26
774,5657,4.1,7.5,10.46,5.31
775,7706,8.08,9.92,8.27,8.58
776,1565,7.6,7.16,9.28,6.66
777,3617,4.38,10.06,11.06,5.97
778,1570,5.31,5.92,10.72,3.11
779,9765,5.12,8.26,9.54,4.07
780,5669,7.5,5.83,8.68,1.9
781,5670,5.83,8.13,8.42,5.4
782,5672,5.1,10.3,8.09,7.61
783,7718,6.47,5.71,7.83,0.82
784,7722,4.04,4.83,8.25,5.6
785,5677,8.65,8.17,11.59,3.14
786,7726,5.27,5.23,9.19,0.0
787,7728,4.27,4.15,7.36,1.03
788,3634,4.89,7.82,10.24,3.58
789,5685,4.35,5.16,6.88,2.07
790,9782,4.37,7.1,10.69,2.97
791,1591,5.94,4.29,7.78,3.07
792,5687,5.04,4.81,9.04,2.93
793,1595,4.39,1.89,7.95,0.0
794,3643,5.6,4.37,9.91,1.53
795,7743,5.37,6.03,5.77,4.21
796,9792,4.5,5.64,9.39,1.03
797,5698,4.43,5.6,9.33,5.74
798,3655,5.06,4.85,9.13,2.13
799,5704,4.26,8.27,10.22,3.54
800,7753,5.24,8.72,8.97,5.22
801,7754,4.82,6.33,8.98,1.63
802,3662,5.55,8.22,11.78,3.16
803,9807,4.33,5.12,3.91,3.7
804,1617,4.16,5.74,5.12,0.45
805,9810,6.18,4.94,11.44,1.97
806,3665,4.49,6.97,9.9,3.87
807,3667,3.7,8.4,10.39,2.25
808,1626,4.14,5.45,7.48,2.62
809,3674,6.33,3.59,12.43,1.57
810,3676,5.28,7.27,9.34,5.53
811,7773,5.05,5.7,9.39,3.33
812,9823,4.91,7.08,8.44,3.15
813,5727,4.35,5.31,11.4,1.57
814,5728,6.91,6.47,11.53,1.58
815,5730,5.53,6.56,9.47,2.06
816,7776,5.64,3.41,10.06,1.46
817,9828,4.06,3.92,8.29,3.81
818,5735,5.76,5.9,7.86,4.29
819,9832,6.96,6.88,9.44,3.95
820,9833,7.93,10.05,11.73,3.28
821,5742,3.87,5.69,12.08,5.89
822,3696,6.36,7.47,12.67,1.55
823,5744,4.32,5.85,10.65,2.63
824,9842,5.09,6.58,10.56,2.54
825,1651,4.05,4.69,10.79,0.35
826,7796,6.78,5.72,8.81,5.18
827,9847,4.04,5.51,5.62,1.71
828,7799,5.1,5.11,10.25,0.46
829,5753,5.24,5.17,9.45,0.81
830,1658,8.05,8.57,7.13,2.6
831,9853,6.08,7.97,5.89,4.71
832,9854,5.94,4.18,9.49,3.07
833,5760,7.41,6.58,11.1,2.17
834,9862,4.56,3.83,9.54,0.57
835,3721,6.56,8.32,7.72,3.57
836,5770,3.79,2.92,8.37,0.0
837,1675,6.55,6.76,5.57,2.03
838,3727,4.75,6.23,9.99,1.78
839,5775,4.8,5.26,8.89,4.4
840,1681,4.26,4.81,7.44,3.43
841,7825,4.08,3.74,10.26,3.57
842,9875,9.55,6.75,10.39,7.45
843,5779,3.79,7.13,8.62,2.17
844,3735,6.98,8.78,6.65,6.27
845,1689,4.69,9.14,7.51,3.82
846,9881,6.75,5.47,5.0,5.37
847,5785,9.41,5.31,10.13,5.17
848,1692,5.6,10.69,10.54,6.82
849,9884,5.19,5.11,10.92,2.48
850,9890,4.92,6.72,9.79,1.04
851,9892,5.92,5.96,9.45,3.2
852,7844,7.3,7.81,8.65,6.63
853,5798,5.7,4.63,7.92,4.91
854,1709,5.4,8.66,7.49,5.39
855,1712,5.17,5.73,10.59,3.87
856,1717,4.35,4.27,10.37,2.03
857,1718,4.22,2.9,9.96,0.0
858,9911,3.82,7.21,8.06,4.73
859,5818,4.31,5.54,7.56,3.51
860,3771,4.8,5.78,11.9,2.3
861,5820,6.3,6.67,12.21,7.91
862,7871,4.57,7.72,8.68,5.18
863,3776,6.25,3.75,8.53,5.03
864,1729,4.81,5.05,11.78,4.37
865,9921,5.68,7.31,10.74,3.23
866,3778,5.13,7.97,13.23,6.07
867,1733,4.15,6.34,6.94,3.84
868,9932,4.83,7.25,12.26,2.23
869,3788,5.67,8.41,10.94,2.66
870,7887,4.92,8.32,9.16,2.22
871,7891,6.59,8.31,8.68,2.88
872,5845,6.83,4.5,7.99,2.71
873,1754,4.22,3.49,9.5,2.27
874,3802,4.71,8.75,9.68,7.51
875,3804,4.79,5.08,9.63,1.94
876,3815,6.49,4.75,8.62,3.85
877,5863,5.39,5.48,8.03,2.03
878,9961,8.02,6.49,7.86,2.95
879,3818,6.64,4.76,9.78,3.77
880,1771,9.04,7.2,10.59,2.13
881,7911,4.75,5.18,11.04,2.96
882,7914,5.97,7.39,8.78,4.57
883,3824,5.03,3.35,7.05,1.61
884,5873,3.9,3.4,8.57,1.36
885,7921,5.92,4.73,10.48,3.19
886,5875,4.26,5.57,8.33,2.57
887,5877,6.36,8.26,11.83,8.94
888,5878,3.8,4.75,10.33,1.37
889,3832,7.44,8.01,7.4,3.29
890,1787,7.52,7.03,12.15,3.95
891,3835,7.51,5.1,10.05,3.18
892,7931,5.03,5.04,10.06,2.1
893,7934,5.21,4.93,14.03,2.04
894,3839,4.71,5.99,8.27,1.89
895,5889,7.58,8.29,7.62,4.69
896,9987,6.11,6.74,9.37,3.56
897,1798,6.91,7.78,6.99,1.2
898,1801,5.4,5.36,12.4,0.85
899,5898,7.53,9.28,10.31,4.7
900,1803,4.48,6.81,8.92,4.71
901,9996,4.06,7.66,10.34,7.68
902,9997,3.92,6.77,9.99,4.57
903,3854,6.37,6.25,9.48,2.5
904,5901,4.44,4.45,9.82,1.71
905,5903,7.11,4.85,7.48,3.51
906,1809,5.04,7.94,8.74,2.36
907,3857,5.29,4.97,8.61,1.57
908,5906,5.2,7.83,11.42,5.0
909,7947,8.21,6.17,9.45,6.11
910,1813,4.91,6.7,9.3,2.03
911,5910,4.6,5.73,8.12,3.39
912,3863,4.03,6.61,8.75,1.75
913,7953,4.42,7.71,6.63,7.22
914,1817,4.16,5.92,9.93,3.39
915,1818,9.74,8.51,12.85,3.09
916,1819,4.14,8.04,10.66,4.78
917,5914,4.37,3.65,5.41,1.68
918,7960,3.86,3.43,8.54,1.5
919,1824,5.12,4.23,9.65,4.46
920,3872,4.32,4.45,10.36,2.15
921,1829,4.46,6.76,8.06,2.8
922,3878,4.2,7.21,12.78,2.66
923,3879,5.69,8.4,9.1,4.73
924,5928,5.76,6.34,11.31,4.95
925,5933,3.01,6.55,11.11,6.1
926,1839,4.79,4.91,10.29,0.65
927,3887,5.93,4.99,10.58,4.35
928,1849,4.8,6.53,10.06,3.51
929,1850,5.4,7.7,12.3,2.82
930,5948,5.07,4.48,9.15,3.21
931,3902,4.45,4.65,7.92,1.07
932,7999,7.42,5.86,6.9,3.12
933,3904,7.0,5.87,7.75,6.28
934,1857,4.05,3.28,7.75,0.0
935,5953,5.82,7.62,11.09,3.67
936,8000,5.75,6.53,10.77,3.39
937,8003,5.35,4.7,13.61,0.81
938,8006,6.0,7.07,11.55,5.6
939,1863,4.87,5.67,9.19,2.55
940,3919,4.86,6.0,9.2,2.18
941,1875,4.63,8.78,8.06,3.71
942,3927,4.05,6.1,10.6,1.46
943,1881,3.66,8.51,11.34,3.89
944,8025,5.29,4.42,7.5,3.11
945,5979,3.78,4.84,5.57,3.45
946,3932,3.86,4.91,9.06,0.59
947,1889,4.25,4.02,11.33,4.66
948,3940,5.35,4.17,12.23,2.78
949,5989,3.88,8.1,5.21,4.3
950,8044,6.61,9.3,11.18,8.82
951,1902,4.26,5.03,6.34,5.17
952,6007,4.55,7.26,9.25,7.12
953,6008,5.28,5.53,9.78,5.74
954,6011,6.34,5.35,11.2,3.75
955,3965,4.09,4.06,7.6,5.46
956,3966,3.26,8.35,9.13,2.67
957,8065,4.89,3.61,9.44,2.42
958,3972,5.19,5.74,10.35,4.16
959,3974,5.22,3.22,5.47,3.34
960,8070,5.13,7.81,11.08,4.11
961,1938,8.4,6.58,9.47,0.62
962,3987,5.08,3.88,5.73,4.71
963,6035,5.54,7.35,9.56,3.68
964,8082,4.22,7.51,8.36,5.17
965,8088,7.25,7.89,10.93,5.27
966,1946,5.78,7.35,11.9,4.08
967,6047,6.19,8.06,6.21,6.76
968,8097,4.24,6.47,5.8,4.69
969,8099,5.09,9.36,7.65,4.01
970,8100,5.02,7.33,8.02,2.17
971,1960,4.64,3.93,7.68,2.01
972,4015,4.29,4.56,12.0,0.0
973,1968,4.48,5.27,8.11,6.59
974,6078,4.24,5.11,8.51,2.84
975,1990,7.63,8.77,11.67,4.37
976,8136,7.08,5.5,9.88,1.2
977,1993,3.58,5.26,8.33,4.86
978,1994,5.16,5.37,9.48,3.14
979,8138,4.47,8.4,10.2,3.11
980,6097,6.07,4.61,6.3,0.71
981,8146,8.58,9.36,11.82,6.78
982,6107,5.17,4.22,8.3,2.67
983,4066,6.71,3.37,12.13,2.32
984,4068,4.46,5.92,8.87,5.35
985,8165,6.36,7.42,10.95,3.41
986,4076,6.17,3.56,9.38,3.09
987,8172,7.33,6.17,11.13,3.62
988,6128,4.29,4.48,10.63,5.43
989,8176,7.78,4.92,7.24,4.02
990,2034,4.5,5.98,8.89,3.7
991,4082,6.63,7.54,9.58,3.27
992,6131,5.28,5.52,10.49,1.16
993,2037,5.4,4.13,8.22,0.71
994,6132,5.84,4.99,8.6,2.43
995,4087,5.94,6.16,10.19,1.63
996,2040,4.0,8.28,9.1,4.59
997,8182,4.32,4.78,9.37,0.08
998,2042,4.55,4.1,10.12,1.09
999,8189,5.44,5.62,12.55,5.1
